scorer,model,threshold,n_all,grounding_rate,vlm_n,vlm_prec,vlm_rec,vlm_f1,vlm_acc,human_n,human_prec,human_rec,human_f1,human_acc
clip,MM,0.1613,3910,1.0,3910,0.4361,1.0,0.6073,0.4361,200,0.955,1.0,0.977,0.955
clip,TXT,0.1613,2686,0.9996,2686,0.3508,1.0,0.5194,0.3511,200,0.92,1.0,0.9583,0.92
clip,MM,0.16452,3910,1.0,3910,0.4361,1.0,0.6073,0.4361,200,0.955,1.0,0.977,0.955
clip,TXT,0.16452,2686,0.9996,2686,0.3508,1.0,0.5194,0.3511,200,0.92,1.0,0.9583,0.92
clip,MM,0.16773,3910,0.9997,3910,0.4362,1.0,0.6074,0.4363,200,0.955,1.0,0.977,0.955
clip,TXT,0.16773,2686,0.9996,2686,0.3508,1.0,0.5194,0.3511,200,0.92,1.0,0.9583,0.92
clip,MM,0.17095,3910,0.9997,3910,0.4362,1.0,0.6074,0.4363,200,0.955,1.0,0.977,0.955
clip,TXT,0.17095,2686,0.9996,2686,0.3508,1.0,0.5194,0.3511,200,0.92,1.0,0.9583,0.92
clip,MM,0.17417,3910,0.9992,3910,0.4364,1.0,0.6076,0.4368,200,0.955,1.0,0.977,0.955
clip,TXT,0.17417,2686,0.9996,2686,0.3508,1.0,0.5194,0.3511,200,0.92,1.0,0.9583,0.92
clip,MM,0.17738,3910,0.9987,3910,0.4366,1.0,0.6078,0.4373,200,0.955,1.0,0.977,0.955
clip,TXT,0.17738,2686,0.9993,2686,0.351,1.0,0.5196,0.3515,200,0.92,1.0,0.9583,0.92
clip,MM,0.1806,3910,0.9982,3910,0.4368,1.0,0.6081,0.4379,200,0.955,1.0,0.977,0.955
clip,TXT,0.1806,2686,0.9985,2686,0.3512,1.0,0.5199,0.3522,200,0.92,1.0,0.9583,0.92
clip,MM,0.18382,3910,0.9969,3910,0.4374,1.0,0.6086,0.4391,200,0.955,1.0,0.977,0.955
clip,TXT,0.18382,2686,0.9974,2686,0.3516,1.0,0.5203,0.3533,200,0.9196,0.9946,0.9556,0.915
clip,MM,0.18704,3910,0.9957,3910,0.438,1.0,0.6091,0.4404,200,0.955,1.0,0.977,0.955
clip,TXT,0.18704,2686,0.9963,2686,0.352,1.0,0.5207,0.3544,200,0.9196,0.9946,0.9556,0.915
clip,MM,0.19025,3910,0.9954,3910,0.4381,1.0,0.6093,0.4407,200,0.955,1.0,0.977,0.955
clip,TXT,0.19025,2686,0.9955,2686,0.3515,0.9979,0.5199,0.3537,200,0.9196,0.9946,0.9556,0.915
clip,MM,0.19347,3910,0.9936,3910,0.4384,0.9988,0.6093,0.4414,200,0.955,1.0,0.977,0.955
clip,TXT,0.19347,2686,0.9944,2686,0.3512,0.9958,0.5192,0.3533,200,0.9196,0.9946,0.9556,0.915
clip,MM,0.19669,3910,0.9898,3910,0.4393,0.9971,0.6099,0.4437,200,0.9545,0.9895,0.9717,0.945
clip,TXT,0.19669,2686,0.9892,2686,0.3523,0.9936,0.5201,0.357,200,0.9242,0.9946,0.9581,0.92
clip,MM,0.1999,3910,0.9854,3910,0.4402,0.9947,0.6103,0.446,200,0.9536,0.9686,0.961,0.925
clip,TXT,0.1999,2686,0.9829,2686,0.3527,0.9883,0.5198,0.3596,200,0.9235,0.9837,0.9526,0.91
clip,MM,0.20312,3910,0.9821,3910,0.4409,0.993,0.6106,0.4478,200,0.9534,0.9634,0.9583,0.92
clip,TXT,0.20312,2686,0.9736,2686,0.3541,0.983,0.5207,0.3652,200,0.9231,0.9783,0.9499,0.905
